編號,菜品名稱,單位,價格
254,日本大頁,盒,1
255,甘筍仔(有葉),盒,1
256,牛茄,斤,1
257,菊花(白),技,1
258,水支竹,條,1
259,美國芽菜,盒,1
260,枇杷葉,斤,1
261,龍蒿(他力根),扎,1
262,玫瑰花,枝,1
263,滿天星,枝,1
264,甘筍仔,斤,1
265,鮮花,枝,1
266,馬祖林 (Marjoram),扎,1
267,雪耳,斤,1
268,牛至(Oregano),扎,1
269,加州蕃茄,斤,1
270,西芹頭,斤,1
271,花生牙,包,1
272,鼠尾草(Sage),扎,1
273,紅蔥頭,斤,1
274,日本竹葉,盒,1
275,羅漢果,個,1
276,甜菜葉,盒,1
277,芥蘭頭,斤,1
278,英芫茜,兩,1
279,辣椒(墨西哥),斤,1
301,金菇,包,1
302,鮮冬菇(斤),斤,1
3021,冬菇(切料-斤),斤,1
3021A,鮮冬菇(切料-磅),磅,1
302A,鮮冬菇(磅),磅,1
303,雞比菇(斤),斤,1
3031,雞肶菇(切料),斤,1
303A,雞肶菇(磅),磅,1
304,秀珍菇(斤),斤,1
304A,秀珍菇(磅),磅,1
305,鮑魚菇,包,1
306,草菇(磅),磅,1
307,茶樹菇,斤,1
308,靈芝菇,包,1
309,海鮮菇,包,1
3091,海鮮菇 (大包),包,1
310,白磨菇(盒),盒,1
311,白磨菇(斤),斤,1
312,芽菜仔,斤,1
313,銀芽,斤,1
314,大豆芽菜,斤,1
315,包仔豆腐,件,1
315a,包仔豆腐,件,1
316,玉子豆腐,條,1
317,豆卜,斤,1
317-1,長豆卜(豆片),斤,1
317A,珍珠豆卜,斤,1
318,蒸煮百福豆腐,盒,1
319,板豆腐,件,1
3191,板豆腐,板,1
3191A,軟豆腐,板,1
320,炸豆腐,件,1
321,鮮腐竹,包,1
322,生根,串,1
323,炸枝竹,包,1
3231,枝竹,斤,1
324,素雞,條,1
325,芋絲,盒,1
326,黃豆干,件,1
327,山水滑豆腐,盒,1
328,煎炸百福豆腐,盒,1
329,豬紅,斤,1
330,翅芽,斤,1
331,腐皮,張,1
332,百葉結,斤,1
333,白磨菇(大盒),盒,1
334,燒烤菇,盒,1
335,鮮枝竹,包,1
336,木耳,斤,1
337,硬百福豆腐,盒,1
338,蟹味菇,包,1
339,鮮毛豆,包,1
340,毛豆肉,包,1
341,慈菇,斤,1
341A,慈菇肉,斤,1
342,黑松茸,盒,1
343,粉皮,包,1
344,甜竹,斤,1
345,響鈴,盒,1
346,白靈芝菇,包,1
347,白豆干,件,1
348,素鴨,條,1
349,冰,斤,1
350,面根,斤,1
351,毛豆,斤,1
352,銀絲王,斤,1
353,紅心番薯,斤,1
354,彩花生,斤,1
355,大烤菇,盒,1
356,普寧豆腐,件,1
357,蘑菇,磅,1
358,普寧豆腐,件,1
359,心里美蘿蔔,斤,1
360,黑木耳,斤,1
361,泰國茄子,斤,1
362,牛蒡肉,斤,1
363,回香草,斤,1
364,泰國青指天椒,斤,1
365,紫羽衣甘蘭,斤,1
366,小香蔥,斤,1
367,大冬瓜盅,斤,1
368,三色羅白仔,斤,1
369,藍梅,盒,1
370,蠶豆,斤,1
371,葫蘆瓜,斤,1
372,荔枝,磅,1
373,山竹,磅,1
